2019/01/01 22:04:35 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:04:45 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:04:55 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:05:05 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:05:15 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:05:25 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:05:35 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:05:45 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:05:55 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:06:05 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:06:15 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:06:25 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:06:35 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:06:45 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:06:55 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:07:05 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:07:15 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:07:25 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:07:35 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:07:45 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:07:55 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:08:05 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:08:15 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:08:25 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
